,label,tweet
23,0,RT @imagetwts: who doesn't love choco butternut?? 😍 https://t.co/BvnGWmYjjW
24,0,RT @JIBOMI: @brookeejolene Awww thank you so much my love!!! I’m so glad to know you and your beautiful spirit❤️❤️❤️
25,0,RT @WilliamPennFdn: Congrats to @SheridanTigers teacher Diana Ryan for your recognition from @BookTrustUSA! We’re proud to support the part…
26,0,@CavershamUnited Love you! And you are most welcome!
27,0,"RT @NtrVattepu: Ye Celebrity Aina Sare Ela DP pedathara Na Baby Pettadu 😘😘🤩🤩
Love you @VishwakSenActor ❤️

#NTRBirthdayCDP https://t.co/aTa…"
28,0,@meanme0w i love u baby
29,0,@JonahDispatch Love the dingo.
30,0,"RT @67scarlette: @mariejoylove @mro530 @aldenrichards02 @mainedcm @diamondmaestro1 @nmasistio @ndcmfrjf @twinflame233 @paella_cuenca ""I don…"
31,0,"RT @xx_qiieruuu: 5 facts = 5 tags
❄️ Clumsy
❄️ Currently addicted: RPG/MMORPG
❄️ A loli in real life haha (Im short lol)
❄️ I love cat 😍
❄️…"
32,0,"Cheers to All the #dogmoms who work hard to give us a Spoiled Life ❤❤
Happy #nationaldogmomday
.
We'd Love see a pi… https://t.co/BPJznaHErk"
33,0,"RT @BTS_twt: 할리갈리과 석진씨와의 즐거운 라디오!
#0613FM_0509 https://t.co/A7yPZpWjZs"
34,0,My sister so smart. I love that about her
35,0,"그대를 사랑해 My Love ♥ 
그대를 사랑해 My Love ♥ 
그대를 사랑해 .. 난 그대를 사랑해 ..
난 그대를 사랑해 My Love ♥ 
에블바리 커몬 .. 에블바리 ㅌ컴온 에블바리 컴온 빠빠야… https://t.co/ZdiicIZMmW"
36,0,"RT @Fathi_nass: “Your parents can't be replaced. Love them, respect them, listen to them, care for them and most importantly pray for them.…"
37,0,今日5ヶ月記念だし元気出さなきゃだね
38,1,"Idk but for me, those who hate theater films or plays must just have jumped over poodles, but those who learned to… https://t.co/NfdfcF0EgP"
39,0,Hi dotdot n friends love u 😚😚❤
40,0,"RT @kyotoanilove: 京都動物愛護センターで新しい飼い主さんを募集している「秋太（あきた）」をご紹介！
大型犬ということもあって、なかなか良いご縁に巡り会えていませんが、毎日元気に過ごしています♪ご興味のある方は京都動物愛護センターまで！詳しくは→https://…"
41,0,@BTS_twt OMG I LOVE YOUUUUU
42,0,"RT @dubuddubu: Hello twitter world! 

We are reaching out for your help, for financial assistance, for prayers, and for your love for my 5…"
43,0,"RT @sereneivana: Team nguso all the way! You both are so cute! I love youuuuu. 
#VananaPanalo 💙 https://t.co/KWP96AdGWM"
44,0,RT @BET: #BETRemembers the legendary music exec Andre Harrell. It is with sadness that we must confirm he has passed away. Sending love to…
45,0,"I'm almost done with my MasterClass course on The Art of Storytelling, taught by @neilhimself &amp; I can say, without… https://t.co/edXDJbIEpj"
46,1,"🎶""We've been close a long time as close as friends can be but in my heart is a secret  for only you and me I tried… https://t.co/1xHPjrgPTl"
47,1,"RT @reddogsusie: #TX #ABILENE
🆘🆘STILL THERE Wilma 2yo adorable Pittie mix girl GOING UNNOTICED after months at the shelter! Desperately nee…"
48,0,RT @rihanat_sona: I hope my in-laws love Coco pops
49,0,@somchoa0304 누가 우리 솜촤 속상하게 해! ㅜㅜ 내가 다 속상해
50,0,かわゆいのでは。。。あと少しかね。。 https://t.co/kEwjium9rZ
51,0,"RT @tuziwwx: 200509 #xiaozhan studio official weibo

let’s all face the light with the strength of our love. #xiaozhan goes on stage once a…"
52,0,@BTS_twt WE LOVE YOUU
53,0,@BTS_twt I LOVE YOUUUUU
54,0,RT @VirtuaIKirito: 2 students in love / 2 warriors in love https://t.co/MQ4IKLiOCW
55,0,"マリアの爪痕（やったかな）の時もLove is Hereのときもka-yuガン無視過ぎる笑
ソロの時に来るka-yuが悪いんか？ってなんかいろいろ考え込んでしまうレベル
指板じゃなくてka-yu観てあげてよぉぉぉ"
56,0,"RT @IamJagguBhai: Great opportunity to express my love to all the fans who shared selfless love to TARAK and made him huge.
@tarak9999 #NTR…"
57,0,Ano ba tong mga kaibigan ko parang kulang sa pansin mga di love ng nanay nila
58,0,RT @overlyorganic: I read somewhere that people with anxiety LOVE rewatching old tv shows and movies they have seen millions of times bc th…
59,0,@pall_com @EricaJong Would love to have the time...
60,0,RT @BobOngHugots: I love the music that explains exactly how I feel.
61,0,"RT @aproko_doctor: Shout out to everyone trying their best to make sure that the ones they love are taken care of.

Sometimes it's hard, so…"
62,0,When no one was around and you didn’t have it niggas showed the most love to you
63,0,"RT @GOT7_JYP: [PIC] When My Love Blooms Behind 

https://t.co/oylrof6ZE9

#GOT7 #Jinyoung #갓세븐 #진영 
@GOT7Official 
#화양연화 https://t.co/6cgqh…"
64,0,@BTS_twt OMG I LOVE YOU!!!
65,0,mum i super love this kid 🥺 https://t.co/zZcHE563Uy
66,0,"Love the skin you're in® Get ready to treat your skin with our high-end technology by #Lutronic 
#skyn #staysafe… https://t.co/I7ccuu9h8z"
67,0,@BTS_twt I LOVE YOU GUYS
68,0,"RT @MewGulf_ChinaFC: 『WUV for MewGulf Project 』
Project Four: 
SHINING LOVE x MewGulf ~『Guangzhou』

Date：20 -26 May 2020
Time：08:30 AM - 22…"
69,0,@BobbyBuenosdias Lmaoo love it
70,0,"Bakit kaya opm bands like IVOS, Callalily, ben &amp; ben, December Avenue and such ay wala pang  concert in MOA, Aranet… https://t.co/qeHOnX6RmE"
71,0,"RT @choi_bts2: Suga 🍯🎙 0509 
Jin left saying loudly ""ARMYs I love you!!!!!!"" @BTS_twt"
72,0,@BTS_twt i love you i love you i love you
73,0,"RT @Voice_For_India: Hinduism shows Respect for All life, humans &amp; animals as God is Everywhere and in All. In Christianity &amp; Islam it is o…"
74,0,"@BenMyers1 Dear Ben, my husband and I (not the queen but if I just wrote Bob you wouldn't know) have loved your boo… https://t.co/PPiWZYnJJE"
75,0,RT @RACHxYOON: every time i hear the papers rustling it makes my heart warm because yoongi prepares ahead of time for each of his radio sho…
76,0,@ArpitaCreations he deserves all the love 🤧💗
77,0,"@offclASTRO I just want you to know that I love you! #ASTRO and Arohas are family for me! #아스트로 Fighting
 ⋆ #GATEWAY ⋆ #KNOCK ⋆ #널찾아가 ⋆"
78,0,"RT @ashwinmawle: Happy to present #NTRBirthdayCDP to you all 😇
My inspiration, An amazing friend and my pillar of strength 💥
Love you tarak…"
79,0,RT @_parinkpinnk: love again เกินหน้าเกินตามาก https://t.co/TcjjILIgGZ
80,0,"RT @leohdear: Instagram stories are banging, love the solidarity but if you Venmo a mutual aid network in your community that would slap ev…"
81,0,@omoshiroi_love てかツイステ垢繋がろ！私の！(←何言っとるんw)
82,0,"RT @erigganewmoney: Love your self 

It’s trending https://t.co/yLNcQiZANh"
83,0,"@galaxypied oh ig you're right :( but catfishing is not the right way, bts said love yourself :("
84,0,"민석이는
루한이꺼 https://t.co/UDpM5w8E9w"
85,0,"RT @ItsNancy81: New Video incl. DATDROP BATTLE  GIVEAWAY 

✅ Watch The Video For Instructions 
✅ Rolled through YT COMMENTS 
✅ Announcing o…"
86,0,@BTS_twt I LOVE YOY
87,0,"RT @keentbelieve: i love my mom, she's the best"
88,0,I love his energy!!! The Liquid metal 😂😂😂 https://t.co/32dOyFvq89
89,0,"RT @sannbosyan: ー亡くすなよ、アイデンティティー

#なーくん
#だいよげん
#すとぷりギャラリー https://t.co/sA2mk0a7XS"
90,0,love yoouuuuuuu https://t.co/2RhfczUojG
91,1,"RT @Summ2x_: You may know me as Summer Long but in Delta Land , I said BUT IN DELTA LAND , I’m known as HeaDSTrong .. all of my life this h…"
92,0,"message to..

1. Hello
2. Hi
3. I love you all
4. Inuman naman jan after ecq
5. Amin ka na hahaha
6. Balik mo pag m… https://t.co/LZQgPOLTg2"
93,0,"@haru_love_root 嬉しすぎて思考停止したよ？？
ありがとう😭"
94,0,i love trampolining 😸💗
95,0,@BTS_twt I LOVE U
96,0,"RT @Ra_Bies: Instead of posting such a long message, you could just have tweeted this pic. Love you sir https://t.co/MJxXDcRbJr"
97,0,@BTS_twt LOVE UUUUU
98,0,"RT @appajeong: Bringing back this Jeongyeon confessing her love for members as 1st win speech and made @JYPETWICE flustered on stage
https:…"
99,0,@BTS_twt HELLO I LOVE YOU
100,0,RT @NickEd82: @CascadeMedusa The main thing about Farscape is just how insanely hot Ben Browder is in it. (But also I love the characters a…
101,0,"RT @_nojam_nolife: 9억뷰 DNA
7억뷰 작은시
6억뷰 불타오르네, FAKE LOVE, Mic Drop, IDOL
5억뷰 쩔어, 피땀눈물
4억뷰 Save ME, Not Today
3억뷰 상남자, 봄날
2억뷰 호르몬전쟁, I NEED U…"
102,0,"@oxox777xoxoxo 
ご回答いただきありがとうございます😆ぜひチキンタツタで日本を味わってください❗️#チキンタツタ 5/13(水)から販売開始🎊
こちらのクーポンでぜひお試しください👍… https://t.co/VgbJXtX67v"
103,0,Aww I love this idea https://t.co/OC2Wgl3ZyW
104,0,@regine_mhar love u 😚
105,0,RT @webscoundrel: gay people love to tweet like **** * ********* **** **** like bitch can i buy a vowel
106,0,"@tomiqkid You are swag too my dear tomi, i love you"
107,0,"RT @BTSARMY_Salon: When we make music
🐱 i can write music better at late night
🐹 right
🐱 like at 2am
🐹 ..well it depends on person
🐱 2am
🐹…"
108,0,스듀해야지~~ 할게 없으니 게임을 할 수밖에...
109,0,"RT @KFortuno_: REPLAYING ONE OF MY FAV SCENES HAHAHAHAHAHAHA I LOVE YOU AJ ❤

#AngHulingElBimbo https://t.co/IpOtpwOpf6"
110,0,"RT @KhristoJuggler: ...listen, I love Cape Town man 😂 https://t.co/qd5mPT3aza"
111,0,Y’all love to circulate child abuse like it’s funny or sumn https://t.co/xjCUS9RT2n
112,0,RT @BrownExellence: I love being alone and undisturbed.
113,0,"RT @imjaswant_sai: """" Intiki jagartha ga velandi, intlo me amma nanna eduru chustaru""""   these lines shows his love towards his fans
@tarak…"
114,0,RT @HeroManoj1: Wishing my sweetest brother a super duper happy Birthdayyyyy ☺️ stay blessed and keep entertaining us like u always u do 🤗…
115,0,RT @AdeleAntwanique: Complimented with new behavior &amp; showers of love &amp; appreciation?
116,0,"@rinu_inu_love らむねさん。
前はごめんね？これから仲良く出来ないかな？🥺🥺"
117,0,I swear I’m meant to end up with Luke Bryan 😭 I’m so in love with his country ass 😂❤️
118,0,"RT @wilexdy: If you stan jonaxx, without hating 4reuminct, i love you. 

If you stan 4reuminct, without hating jonaxx,  i love you

If you…"
119,0,"RT @iman21235: 🎂🎉🎁Happy Birthday 🎁🎉🤗
hope your special day fills your soul
with joy and love galore.....
🌸🌺💕Happy birthday💕🌺🌸
Thank you for…"
120,0,"@BTS_twt I LOVE YOU GUYS SO MUCH, STAY SAFE AND HEALTHY KINGS !! 💜💜💜 https://t.co/j1dBKB7zGB"
121,0,@Tgtg_HRTC_Love おつ👏
122,0,"@YoungjaesAnkles @GOTYJ_Ars_Vita @GOT7Official I would love to see that 

#GOT7 #갓세븐 @GOT7Official"
123,0,"RT @MelindaVInman: Dear younger me:

Leave the room if you feel unkind words rising up and ready to burst out of your mouth. Simply walk ou…"
124,0,"@offclASTRO HI BINNIE I LOVE YOU
#ASTRO  #아스트로  #GATEWAY  #Knock  #널찾아가"
125,0,@BTS_twt i love you
126,0,@yomaturidao お絵かきの森やん
127,0,"RT @mercury10s: no matter what love is, just love that's it"
128,0,"RT @zzabbaguri: 바톤 받고 13년생

데이식스 제이 https://t.co/iu6OP7QMXB"
129,0,"RT @masa_senpai: 🌸まさピキゲリラ🌸

5月9日  21時30分
1000×5 (Amazon)

条件｜画像確認
フォロー先
@masa_senpai 
@sho_pik_love 

応募｜チーム名 と代表者ID コピペ用も
あとなんか一言で

交換枠@ma…"
130,0,@BTS_twt I LOVE NZKSNZKSNS
131,0,"I was saying the other day how I never in my life had the opportunity to do a classic style picnic, but I would rea… https://t.co/w0vAodyUE6"
132,0,"RT @SmilingJonghyun: Please support @NUESTNEWS a lot this CB. Especially given the pandemic, they have to perform and promote without us by…"
133,0,RT @Devmichelle02: Wear your seatbelt and tell your friends you love them every single time you see them.
134,0,ITS 5:30 AM AND I HAVENT SLEPT AND IM GONNA SCREAM.ty for reading I love you :) nh ofc tho.
135,0,@I__love__you__8 ฅ(&gt;ω&lt;*ฅ)ﾆｬ🍒(ノ･ω･)ノ⌒🍒
136,0,RT @Ruthprowton1: @LindaJohnPierr1 Love this!!!!🥰♥️
137,0,RT @JoyyUnSpeakable: Black men are literally the best with kids 😩😩😍❤️  https://t.co/sQAwQmjycp
138,0,"RT @sunnysunlisa: i'm here because of them. i love four girls... jisoo, jennie, rosé, and lisa. @ygofficialblink https://t.co/gLIru4h1o6"
139,0,@BTS_twt I LOVE U SO FUCKING MUCH WTF
140,0,"@Love_Cocchi_SN こちらこそありがとうございました。
本日もお疲れ様でした。"
141,0,@BTS_twt HI I LOVE U BOTH SM
142,0,RT @espergwiz: ระหว่างรอไฟแดงนานเกินไป  kill this love ช่วยคุณได้ https://t.co/DlnQOPSH2o
143,0,@BTS_twt HDKSLAHSHS I LOVE YOU
144,0,"RT @hvgoenka: Love this process of cut and paste..
 https://t.co/eDsbR8fTEr"
145,0,"RT @VJDeverakondaFC: Thnkyou @ActorSatyaDev ❤🤗

Senting you Lots Of Love &amp; Strength from,
@TheDeverakonda Fans.

#HBDVijayDeverakonda 🎉"
146,0,Team 7 miếng đất làm rất tốt rồii.Em iu Xu JiaQi i love u chu cà mo https://t.co/fpvqOSoBAh
147,0,"And I would say I love you
But saying it out loud is hard
So I won't say it at all
And I won't stay very long"
148,0,"RT @attackonshouto: ( #anitwt ) 💓

i’m still new so i wanna make more mutuals to cry together about 2d characters!!

i like:

-bnha
-snk
-k…"
149,0,they love me #bot
150,0,"RT @Yorkscatrescue: Below is Minnie, a former YCR baby. Her mummy says “I love my art work, Minnies cheeky pose is captured beautifully! I’…"
151,0,The people who love saying 'it's the usual suspects' are very quiet today... https://t.co/3mEmSWpuIW
152,0,@BTS_twt i love you both 💜
153,0,@BTS_twt I LOVE YOU
154,0,"@Evan8Moxley I know, I know 😂😂 it could be that I just really love the snow and cold lol"
155,0,@offclASTRO #ASTRO   #아스트로   #GATEWAY   #Knock   #널찾아가  I LOVE YOUUUU SO MUCH
156,0,"RT @KK_is_my_name_: girls be like 
“ 1 year with the love of my life 😌 my world ❤️ ”   
and this is the pic https://t.co/9zPzEBHODJ"
157,0,Both. Workout then nap. Or nap then workout. https://t.co/ShR0nkxIAx
158,0,"RT @Dhanush_Rithik: @dhanushkraja Fans Love You All we smashed 100+K Tweets within 45 mins ❤️💓🙌

Podraa vediya 💥💥💥

#18YrsOfKTownPrideDHANU…"
159,0,@txzierz omg i have bam and fauna too i swear they’re in love
160,0,Love the “tweak” to the factory poster ⁦@Fac51hacienda⁩ #HaciendaHouseparty https://t.co/m5iF8mb2NY
161,0,"RT @carrieksada: @ChelseaClinton You have nerve Ms Hubble. 
That hag you call your mother was selling favors while in office of SoS. 
You h…"
162,0,"rest in peace Fred, u are an angel now, sending all my love to the glossy rat em 🥰 @crydw https://t.co/EG1GPRfIud"
163,0,they say it’s favoritism but these the ones i love the most 🤞🏽
164,0,RT @g032776314: Team 7 miếng đất Phi Thường Nhật Hoan Lạc lên!! #Non_Daily_Revelry Love Yu Shu Xin and Zhao Xiao Tang !!!! https://t.co/Y9k…
165,1,RT @1capplegate: It feels glib to promote.  But tonight we drop. Midnight on Netflix. I hope we take you out of the shit for a few hours. L…
166,0,@BTS_twt I LOVE U BOTH SO MUCH
167,0,RT @MrTomide: There is enough love for everyone in the world. 💍💍 https://t.co/wTQAg5rdPJ
168,0,"In a random post, when i expressed my love for #heritage and how i came to realise the value it possess.

#culture… https://t.co/1UtBGdzWZW"
169,0,"RT @sun_fiji: Feature: Yesterday, the couple donned traditional iTaukei wedding attires to tie the knot at the Marriage Registry at the Suv…"
170,0,"@MORNINGc_love_r @pearlsann 2度見した後ゆっくり0数えた
何回数えても4つやった。。。"
171,0,@ChristieGolden It's maybe a little random but I love Dread-Rider Cullen. Just a generally fun and airy personality… https://t.co/DGtF0DvF4E
172,0,"くっそwww
 #声優パジャマ会議"
173,0,"RT @kirigwi: More literature for you and your children.
again, whatever you do with this information is up to you.

There is this great pro…"
174,0,"@SimFans @TheSims I'm gonna use it SO in the wrong ways, I'm in love."
175,0,@YomiBear3 I love the glow in the dark
176,0,"8. a picture of your bias 💎

always loved bebi cheese 🧀 since i laid my eyes on him but srsly i love them all so mu… https://t.co/T5QIdHNL4o"
177,0,RT @Onhwa__0506: 난 변백현의 이 화장 전후 갭차이를 너무너무 사랑해 https://t.co/Ew1xHlquDL
178,0,@katoneko_love ありがとうございます！
179,0,"RT @buriedgod: i love them, they’re fancy https://t.co/b1xagf2qPR"
180,0,RT @thetaskoschei: im love they https://t.co/GFFdfyZbSH
181,0,RT @bnnch__: ชอบประโยคที่ว่าเรือแมสได้แค่ฟอลถูกคนจริงๆนะ พออยู่รวมกันแล้วรู้สึกแมสมาก ตื่นเต้นเลย
182,0,"RT @ShekharGupta: Why liberals love to fantasise about a Narendra Modi-Amit Shah split. Five reasons

Opinion Editor Rama Lakshmi @RamaNewD…"
183,0,@BTS_twt WE LOVE YOU I OOVE YOU
184,0,"RT @marxismz: ""When we finally learn to love ourselves,our days becomes brighter and our hearts feel less heavy."""
185,0,RT @ateyaba111: Love life and life will love you.
186,0,RT @Nadinehates1: Reasons to love @Michael5SOS ✨ https://t.co/U9fVDiWt0F
187,0,"通話してた時に気づいたんだけど、プロメアって２４日で1周年なの……？？
時の流れって早い……あの出会いから1年…"
188,0,RT @KennedyGagama: THE WATER TRIBE IS BASED ON INUITS! Why don't they cast an actual Inuk actress.....like Anna Lambe. I love Zendaya but d…
189,0,@BTS_twt OH I LOVE YOU SO MUCH
190,0,RT @craytusjones: This weekends #satsplat theme is betrayal. Write and/or Tweet pieces about betrayal. Interpret as you wish. All genres we…
191,0,"@mickey_tan_love ♡mickey…さん、こんばんは
お誕生日おめでとうございます🎂㊗️

はじめまして
フォローさせていただきました☺️
*｡.:*ヽ(*´∀︎`*)ﾉ*｡.:*Happy な一年になりますように💕🍓"
192,0,"RT @u4eakooks_net: 💜i love you!
🐱me too, i love you army~"
193,0,RT @RealMiniAOC: I love the Cuomo brothers! Groucho and Harpo are my favorite!
194,0,"RT @Benshopiro: Abbys thicc udders are making me so horny right now. I love suckling her milk.

I am Ben Shapiro, the american conservative…"
195,1,RT @CvrmelGoddess: Date someone who handles conflict with maturity. Someone who lets you know when he is annoyed with you instead of bottli…
196,0,"RT @DebbsterDoo: Emotional day on your final journey as you are laid to rest, you weren’t only my boss but have been part of our family for…"
197,0,RT @ACShilton: I love you PR folks but maybe just tell your clients to buy ads so media still exists after this?
198,0,i love you @kchidalgo 💙
199,0,@offclASTRO Knock knock I LOVE YOU #ASTRO   #아스트로   #GATEWAY   #Knock   #널찾아가
200,0,@tanakataro_love しらこいて（笑）（笑）（笑）
201,0,I'm infected by your love virus!
202,0,"Noelle is by far one of my favorite creatives, she puts so much effort into her work and she’s so eco friendly we l… https://t.co/EsC9oJqH6f"
203,0,"@skylove_woon Call me hasungwoon wife 🤭🤭🤭🤭 just kidding 🥺🥺🥺 
Nama : f
Lagu favorite ku TELL ME I LOVE YOU
My love l… https://t.co/T1AcQy8yoB"
204,0,"☆☆埼玉　デリヘル出稼ぎ☆☆

・報酬バック
60分9000
80分11000

保証 4～7万円12時間待機

・雑費
5%

・その他詳細
18～20後半までの方で細身の方がうけます！
写メ日記の回数多いですが集客はしっかりしてるのでつきっぱです！
平均6～7万の保証"
205,0,@BTS_twt THIS IS IT YES BABIES I LOVE YOU
206,0,I love the way you love me ~
207,0,"RT @Madhutata24: LOVE YOU @urstrulyMahesh FOREVER AND EVER AND EVER😍😍😍😍😍😘😘😘😘😘❤️❤️❤️❤️❤️❤️
#1YearForExceptionalMaharshi https://t.co/TLdMTJJ…"
208,0,@iMe_Dreamnote I LOVE YOU
209,0,"@mimilovelycat 
RTありがとうございます❗️#塙さんの言い間違いシリーズ いかがでしたか😆❓塙さんオススメの #ごはんチキンタツタ は5/13(水)から✨こちらクーポンでぜひ試してみてください👍… https://t.co/NutLeD2zDb"
210,0,RT @judehaste_write: #JudeHaste #contemporary #comedy #novella #IncredibleIndia   #quarantineandchill #love https://t.co/i3uLq0zDgZ #book…
211,0,"RT @choi_bts2: 💜💜Love you too Jin, i've missed you so much!!! Thank you for coming today!!! @BTS_twt"
212,0,RT @RabbitCitee: Love for winmetawin #น้องวินล้านฟลวแล้วค้าบหม่ามี๊
213,0,I LOVE U https://t.co/HoGJ77K3ub
214,0,"RT @zhongxin_90: 여긴 우리들 세상이야
이제 우리들끼리 행복하게 살면 돼 https://t.co/FPilhmQDN6"
215,0,"RT @TwoodTrolls: Big fan handles are big for namesake..
@PawanKalyan fan anevaru evaraina okate..
Tweet out of your love towards #PSPK then…"
216,0,@perthppe Love perth
217,0,@ahriman0628 うお！あと2人くらいいたらやりたいわね
218,0,RT @SVTmp4: 오빠가... 선배가... 라떼는... https://t.co/jyM1dhlGNz
219,0,@thedavidhunter @jason_mraz I love that story too much 😂😂
220,0,"@chovayR @btspopkingsx @zkdlinisjongin @hwatysehun I'm talking to the girl, I was an army, I still love and support… https://t.co/GwMviTfTEP"
221,0,"As long as I have my son &amp; family I’m good, I’ll always be good. Life might be difficult at times but I love my life"
222,0,RT @MrsDriscoll: Someone that I love very much lost a family member yesterday (May8) to #WUFLU #ChineseVirus #WuhanVirus too.  Because of t…
223,0,trashtalk with love HAHAHAHAHAHA
224,1,RT @kyleighcool13: “Waiting for the day when hate is lost and love is found” ✨
225,0,"RT @gazuntype: i built a new mobile game and would love if y'all could download it. 

it's called Shooter Arena and it's an online two-play…"
226,0,@LIZEYANN I love you too~^^ 🥺👉👈
227,0,RT @kimparkdaily: I just love the sound of them having fun. this is great. 🥺
228,1,fuck I love cocky characters
229,0,Don’t give to much Love and care to someone mag tira ka din sa sarili mo
230,0,RT @BigTefs: this is my love language
231,0,"RT @Yibo_Thailand: 200509 | YANJING BEER Official weibo update
ประกาศอย่างเป็นทางการหวังอี้ป๋อ Brand Spokesperson Yanjing Beer (燕京啤酒) 

FOR…"
232,0,"RT @PipixiannvGu: ❤️ ❤️ ❤️ 🐼 ⚽️ ❤️ ❤️ ❤️ 
Love is to support,is to protect,is to be together no matter what happens. He is his power,his pr…"
233,0,@BTS_twt AAHAHHHHHH FINALLY I LOVE YOU TWOOO AHHHHH 💜💜💜💜💜💜
234,0,"This #MothersDay buy flowers to #express your love.
@sandeepramdasi 
#MothersDay #mothersdaygift #Flowers #gerbera https://t.co/kOjo5ydOwn"
235,0,@fearandIoathng its so cute i love it
236,0,"Good Morning, Patriots 😊🇺🇸

Happy Saturday, to all of you fellow Patriotic Americans who love OUR COUNTRY, OUR FREE… https://t.co/PedKLEguWc"
237,0,@Ryo_love_love00 ぜひぜひ🙌💕
238,0,大丈夫、絶対ハピエンだから。私が気になって仕方ないのはサラタイちゃんの初夜とタインちゃんの幼馴染（男）（タインLOVE）が登場してワットさんを怒らせてしまいタインちゃんがベッドでお仕置される回なんですけど〜〜〜
239,0,"@yuki64376566 お疲れ様でした🙇‍♂️

救援ありがとうございました🙇‍♂️✨"
240,0,"RT @i5ha__: the more i try to love, the more i feel worthless"
241,0,@Johnny__Love A mali estremi estremi rimedi 😎
242,0,RT @msa89_: Kesian my brother. Cuti tanpa gaji. Dah 2 bulan. Anak dah ramai. Hmmm. It’s my responsibility to help him. I will. I will never…
243,0,@hayasan107 セブチはジョンハン、ウォヌらしいのですが、ジョンハンは皆様手放さないのでウォヌ集めをしてます😅
244,0,@Love_WHEEIN_417 바나나차차~~바나나차차~~~샘 볼때마다 이거생각나요 진짜 꺅
245,0,@BTS_twt I LOVE YOU
246,0,【自分自身の魅せ方】 顔の左側が見えるように会話すれば気になる異性に魅力をアピールできる。 https://t.co/rtKvIQcBjE
247,1,RT @RealDevotion: even tho da world hate us.. i love being black
248,0,@BTS_twt I LOVE YOU
249,0,@lemielhyuck @NCTsmtown_127 @NCTsmtown_DREAM @NCTsmtown @NCTZENSELCADAY_ @NCTZENselcadayy @nsdIoves I LOVE EVERYTHING ABOUT THIS
250,0,"RT @RaashiKhanna: So very glad to be revealing the #NTRbirthdayCDP 
A powerhouse of many talents, a charismatic leader and an inspiration t…"
251,0,"RT @CHANSOOperior: KYUNGSOO-YAH WE MISS YOU AND WE LOVE YOU...URI PRECIOUS PENGUIN 😭😭😭😭😭😭😭😭

#DYOCON #KyungsooOnlineConcert #DYOCON이지금_일어나고…"
252,0,@BTS_twt IM SO HAPPY I LOVE YOU
253,0,RT @Nako_oO_milk: コロナで大変な時期ですが、日本橋でメイドさんしているので来て下さると嬉しいです…😢🤍
254,0,"until eternity, my love for him will never run dry because it grows as the sun rises and remains strong as the day… https://t.co/9nNauaYAfc"
255,0,"@m1nn1e3579 
RTありがとうございます❗️#塙さんの言い間違いシリーズ いかがでしたか😆❓塙さんオススメの #ごはんチキンタツタ は5/13(水)から✨こちらクーポンでぜひ試してみてください👍… https://t.co/fGQESdZIob"
256,0,I LOVE YOU BOTH https://t.co/AdWgyic1Xt
257,0,@sato_azk_nico @rinu__love__77 @sato___hina @Sato________m あいです❕❕❕❕❕あずさん爆誕おめでとうございます 🥳👊🏻👊🏻
